"","location","latitude","longitude","year","BY150m","BY300m","geometry"
"90","MPB-B10-85",49.02741,-113.5807,2023,2003,2003,c(7046568.97444519, 11591019.8608237)
"91","MPB-B5-200",49.08583,-113.9695,2023,NA,NA,c(7035418.83967039, 11563829.0000233)
"92","MPB-B5-201",49.06635,-114.00308,2023,NA,NA,c(7037162.75183268, 11561027.4682515)
"93","MPB-B5-202",49.06744,-114.00873,2023,NA,NA,c(7036973.13249517, 11560637.2741051)
"94","MPB-B5-204",49.018489,-114.042056,2023,NA,NA,c(7041976.5957266, 11557303.1481567)
"95","MPB-B5-206",49.01934,-114.04838,2023,NA,NA,c(7041804.94122613, 11556859.258158)
"96","MPB-B5-207",49.015792,-114.051051,2023,NA,NA,c(7042164.34225825, 11556598.8688656)
"97","MPB-B5-208",49.01277,-114.05262,2023,NA,NA,c(7042479.11599807, 11556428.4002216)
"98","MPB-B5-209",49.09147,-113.96665,2023,NA,NA,c(7034829.89231954, 11564140.7433411)
"99","MPB-B5-211",49.09621,-113.9665,2023,NA,NA,c(7034307.5260515, 11564239.6599956)
"100","MPB-B5-225",49.01324,-113.66664,2023,NA,NA,c(7047109.28294807, 11584509.9984943)
"101","MPB-B5-228",49.100414,-113.943562,2023,2017,2017,c(7034122.1059387, 11565983.4844693)
"102","MPB-B5-229",49.10086,-113.96761,2023,2017,2017,c(7033779.73682508, 11564245.4071007)
"103","MPB-B5-233",49.13542,-114.03545,2023,NA,NA,c(7029128.77217399, 11559963.883563)
"104","MPB-B5-238",49.05258,-113.91872,2023,NA,NA,c(7039714.34470498, 11566901.9775275)
"105","MPB-B5-240",49.066535,-113.885487,2023,2017,2017,c(7038575.03003337, 11569575.204025)
"106","MPB-B5-299",49.13241,-114.03049,2023,NA,NA,c(7029522.36711554, 11560267.7048444)
"107","MPB-B5-626",49.09439,-113.96369,2023,NA,NA,c(7034543.06625153, 11564409.9397014)
"108","MPB-B5-635",49.14024,-114.04219,2023,NA,NA,c(7028513.18525456, 11559564.7088611)
"109","MPB-B10-636",49.02638,-113.59241,2023,2003,2003,c(7046543.30531491, 11590149.2876686)
"110","MPB-B10-637",49.02593,-113.58633,2023,NA,2003,c(7046665.5920806, 11590583.4484246)
"111","MPB-B10-638",49.0177,-113.5871,2023,2003,2003,c(7047566.86015787, 11590378.2131349)
"112","MPB-B10-639",49.03051,-113.58215,2023,2003,2003,c(7046208.7387186, 11590970.5637913)
"113","MPB-B10-640",49.0305,-113.57767,2023,2003,2003,c(7046263.23388632, 11591296.2862391)
"114","MPB-B10-641",49.03373,-113.57095,2023,2003,2003,c(7045985.9417765, 11591843.6523413)
"115","MPB-B10-642",49.04291,-113.56539,2023,NA,2003,c(7045036.49260161, 11592414.3359566)
"116","MPB-B10-643",49.03616,-113.56512,2023,2003,2003,c(7045786.51708991, 11592311.7503093)
"117","MPB-B10-644",49.03189,-113.567074,2023,NA,NA,c(7046235.66674925, 11592092.2877368)
"118","MPB-B10-645",49.02796,-113.56515,2023,2003,2003,c(7046693.36566784, 11592161.0934768)
"119","MPB-B10-646",49.02936,-113.56916,2023,NA,NA,c(7046490.72902697, 11591894.717978)
"120","MPB-B10-827",49.50115,-114.39669,2023,NA,NA,c(6984201.56325124, 11540735.5037584)
"121","MPB-B10-829",49.5165,-114.39349,2023,NA,NA,c(6982541.82309624, 11541259.3366841)
"122","MPB-B10-830",49.521485,-114.39115,2023,NA,NA,c(6982018.94929934, 11541523.1997183)
"123","MPB-B10-831",49.52279,-114.38772,2023,NA,NA,c(6981917.0787559, 11541795.3571007)
"124","MPB-B10-851",49.502689,-114.40305,2023,NA,NA,c(6983952.05781606, 11540306.3143753)
"125","MPB-B10-853",49.50721,-114.39511,2023,NA,NA,c(6983550.27313498, 11540965.1497692)
"126","MPB-B10-854",49.51462,-114.3993,2023,NA,2003,c(6982677.73636373, 11540804.5926974)
"127","MPB-B10-855",49.51771,-114.39975,2023,NA,NA,c(6982330.01012036, 11540831.1768362)
"128","MPB-B10-856",49.52011,-114.40211,2023,NA,NA,c(6982034.92388345, 11540706.9043549)
"129","MPB-B10-857",49.52496,-114.38435,2023,NA,NA,c(6981718.67083309, 11542079.6895546)
"130","MPB-H10-121",49.34761,-114.1403,2023,NA,NA,c(7004366.60932482, 11556340.8262073)
"131","MPB-H10-826",49.50009,-114.40123,2023,NA,NA,c(6984262.44543065, 11540387.8960027)
"132","MPB-H10-828",49.5124,-114.39496,2023,NA,NA,c(6982977.50577481, 11541075.0718446)
"133","MPB-H10-832",49.345751,-114.14721,2023,NA,NA,c(7004487.5221318, 11555806.1929856)
