"location","latitude","longitude","year","BY150m","BY300m","geometry","FY150m","FY300m","FY500m"
"MPB-B5-208",49.01277,-114.05262,2023,NA,1982,c(569247.889986557, 5427135.1198027),NA,NA,NA
"MPB-B5-209",49.09147,-113.96665,2023,NA,1982,c(575412.559085729, 5435962.20292771),NA,NA,NA
"MPB-B5-211",49.09621,-113.9665,2023,NA,1982,c(575416.324427209, 5436489.06111623),NA,NA,2017
"MPB-B5-225",49.01324,-113.66664,2023,1980,1980,c(597459.230461812, 5427611.2647902),NA,NA,NA
"MPB-B5-228",49.100414,-113.943562,2023,NA,1982,c(577083.613298057, 5436979.28479855),2017,2017,2017
"MPB-B5-229",49.10086,-113.96761,2023,NA,1982,c(575328.289119817, 5437004.66591454),2017,2017,2017
"MPB-B5-233",49.13542,-114.03545,2023,NA,1982,c(570329.530855871, 5440779.79446485),NA,NA,NA
"MPB-B5-238",49.05258,-113.91872,2023,NA,1982,c(578971.995601142, 5431689.55768713),NA,NA,2017
"MPB-B5-240",49.066535,-113.885487,2023,NA,1982,c(581376.35935858, 5433275.35601109),2017,2017,2017
"MPB-B5-299",49.13241,-114.03049,2023,NA,1982,c(570695.46158986, 5440449.93652545),NA,NA,NA
"MPB-B5-626",49.09439,-113.96369,2023,NA,1982,c(575624.136881018, 5436289.6222098),NA,NA,2017
"MPB-B5-635",49.14024,-114.04219,2023,NA,1982,c(569831.322570773, 5441309.16340944),NA,NA,NA
"MPB-B10-636",49.02638,-113.59241,2023,1981,1981,c(602857.688898064, 5429169.31663188),2003,2003,2003
"MPB-B10-637",49.02593,-113.58633,2023,NA,1981,c(603302.895625614, 5429127.57425043),NA,2003,2003
"MPB-B10-638",49.0177,-113.5871,2023,1980,1980,c(603263.658634376, 5428212.03737606),2003,2003,2003
"MPB-B10-639",49.03051,-113.58215,2023,NA,1984,c(603598.826822528, 5429642.18768383),2003,2003,2003
"MPB-B10-640",49.0305,-113.57767,2023,NA,1984,c(603926.180937715, 5429647.20359669),2003,2003,2003
"MPB-B10-641",49.03373,-113.57095,2023,NA,1984,c(604410.420153168, 5430015.33702475),2003,2003,2003
"MPB-B10-642",49.04291,-113.56539,2023,NA,1984,c(604797.346547358, 5431043.05482925),NA,2003,2003
"MPB-B10-643",49.03616,-113.56512,2023,NA,1984,c(604831.256845931, 5430293.39032287),2003,2003,2003
"MPB-B10-644",49.03189,-113.567074,2023,NA,1984,c(604697.465176713, 5429816.22416882),NA,NA,2003
