"","SS","YEAR","BEETLEAREA150","BEETLEAREA300","BEETLEAREA500","SEVERITY150","DOMCLASS150","SEVERITY300","DOMCLASS300","SEVERITY500","DOMCLASS500","BURNAREA150","BURNAREA300","BURNAREA500","DOMBURNCLASS150","DOMBURNCLASS300","DOMBURNCLASS500","location.x","latitude.x","longitude.x","year.x","maxFY150m","meanFY150m","maxFY300m","meanFY300m","maxFY500m","meanFY500m","HARVESTAREA150","HARVESTAREA300","HARVESTAREA500","location.y","latitude.y","longitude.y","year.y","maxHY150m","meanHY150m","maxHY300m","meanHY300m","maxHY500m","meanHY500m"
"58","MPB-H13-22",2024,0,0,14346.1329692341,0,0,0,0,3,3,0,864.917000321904,22700.7195374331,0,0,0,"MPB-H13-22",52.871708,-118.117292,2024,NA,NA,2000,2000,2009,2006,63267.0744806891,200439.029718687,457247.846554434,"MPB-H13-22",52.871708,-118.117292,2024,2009,2008,2020,2008,2020,2008
"59","MPB-H15-23",2024,0,0,20443.3473809899,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-H15-23",52.872952,-118.121615,2024,NA,NA,NA,NA,NA,NA,68257.0917388126,224879.291932375,545616.981843544,"MPB-H15-23",52.872952,-118.121615,2024,2008,2008,2019,2008,2019,2010
"60","MPB-H15-24",2024,0,0,39094.0342392516,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-H15-24",52.872819,-118.127208,2024,NA,NA,NA,NA,NA,NA,59934.3599066356,234662.821380897,583965.231886436,"MPB-H15-24",52.872819,-118.127208,2024,2019,2008,2019,2013,2019,2014
"61","MPB-H15-25",2024,8147.38133681449,28531.0859773778,93265.1184155918,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-H15-25",52.875609,-118.126941,2024,NA,NA,NA,NA,NA,NA,54662.2652356894,129801.743922471,348976.40110571,"MPB-H15-25",52.875609,-118.126941,2024,2011,2008,2019,2009,2019,2011
"62","MPB-H16-09",2024,34468.501878906,141278.980490441,390733.845971026,3,3,3,3,2,3,0,0,1998.67490548299,0,0,0,"MPB-H16-09",52.873485,-118.055814,2024,NA,NA,NA,NA,1963,1952,70653.5409277817,243917.261870436,486865.052442132,"MPB-H16-09",52.873485,-118.055814,2024,2008,2008,2008,2008,2019,2008
"63","MPB-H16-10",2024,70653.540928157,222412.096442568,443870.0587124,3,3,3,3,3,3,0,0,1212.65083249653,0,0,0,"MPB-H16-10",52.875571,-118.052234,2024,NA,NA,NA,NA,2007,2007,70653.5409280108,210743.078784705,414929.244548826,"MPB-H16-10",52.875571,-118.052234,2024,2008,2008,2008,2008,2021,2008
"64","MPB-H16-14",2024,91.6844369457103,54239.1052190204,229640.802660884,3,3,3,3,3,3,0,0,1691.23598676201,0,0,0,"MPB-H16-14",52.872808,-118.051757,2024,NA,NA,NA,NA,1989,1965,61375.7471527059,151881.922273651,318821.899769239,"MPB-H16-14",52.872808,-118.051757,2024,2008,2008,2008,2008,2008,2008
"65","MPB-H19-31",2024,39217.657683026,136195.61125437,246626.12380415,3,3,3,3,3,3,1443.03002088154,24277.3819865537,77790.8859639373,0,0,0,"MPB-H19-31",52.887938,-118.088702,2024,1988,1988,2006,2001,2016,2002,69617.5211756043,255770.472128252,621720.978867911,"MPB-H19-31",52.887938,-118.088702,2024,2005,2004,2019,2005,2022,2008
"66","MPB-H3-01",2024,68828.7722735237,243423.837196599,687210.612649688,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-H3-01",52.907133,-118.012417,2024,NA,NA,NA,NA,NA,NA,36044.1801743805,75586.7775129224,123396.11012809,"MPB-H3-01",52.907133,-118.012417,2024,2021,2021,2021,2021,2021,2021
"67","MPB-H5-17",2024,0,0,0,0,0,0,0,0,0,0,1832.80644537858,3997.35719720495,0,0,0,"MPB-H5-17",52.866926,-118.12178,2024,NA,NA,1998,1996,2002,1982,61741.8058293266,209261.22820954,522809.310294038,"MPB-H5-17",52.866926,-118.12178,2024,2019,2019,2019,2018,2019,2017
"68","MPB-H5-18",2024,0,0,0,0,0,0,0,0,0,1752.81839639437,1998.6796838243,2998.01683179413,0,0,0,"MPB-H5-18",52.8668,-118.12659,2024,1995,1995,1998,1996,1998,1977,52735.6910513337,166636.952315726,475993.654193124,"MPB-H5-18",52.8668,-118.12659,2024,2019,2018,2019,2018,2019,2018
"69","MPB-H5-19",2024,0,0,0,0,0,0,0,0,0,115.592866781059,999.337147977894,2998.01683179413,0,0,0,"MPB-H5-19",52.864105,-118.128273,2024,1959,1959,1959,1959,1998,1977,49022.2755782632,134820.424863974,264903.800246508,"MPB-H5-19",52.864105,-118.128273,2024,2019,2019,2019,2019,2019,2018
"70","MPB-H5-20",2024,0,2863.98918873086,113999.339955451,0,0,3,3,3,3,0,0,0,0,0,0,"MPB-H5-20",52.872615,-118.137165,2024,NA,NA,NA,NA,NA,NA,70653.5409281775,247553.351232566,379526.074968807,"MPB-H5-20",52.872615,-118.137165,2024,2019,2019,2019,2019,2019,2019
"71","MPB-H5-26",2024,0,0,1552.03392313793,0,0,0,0,3,3,0,1993.20257127145,84172.8632522488,0,0,0,"MPB-H5-26",52.884307,-118.097333,2024,NA,NA,2004,2004,2013,2008,70653.5409280881,255238.907048321,541375.102975427,"MPB-H5-26",52.884307,-118.097333,2024,2019,2019,2019,2017,2019,2013
"72","MPB-H5-27",2024,0,0,0,0,0,0,0,0,0,0,0,7902.2151227612,0,0,0,"MPB-H5-27",52.884663,-118.102121,2024,NA,NA,NA,NA,2013,2013,70653.5409279503,237528.035287213,514645.977104325,"MPB-H5-27",52.884663,-118.102121,2024,2019,2019,2019,2019,2019,2018
"73","MPB-H5-28",2024,0,0,1532.439982968,0,0,0,0,3,3,0,0,327.612396188168,0,0,0,"MPB-H5-28",52.8862,-118.107265,2024,NA,NA,NA,NA,NA,NA,70653.5409280099,247248.609413374,462359.243583809,"MPB-H5-28",52.8862,-118.107265,2024,2019,2019,2019,2019,2019,2019
"74","MPB-H5-29",2024,0,5386.76014890708,122144.284114844,0,0,3,3,3,3,0,0,0,0,0,0,"MPB-H5-29",52.888726,-118.113657,2024,NA,NA,NA,NA,NA,NA,60598.1391430907,181897.596326899,390673.383952421,"MPB-H5-29",52.888726,-118.113657,2024,2019,2019,2019,2019,2019,2019
"75","MPB-H5-30",2024,20956.7903713046,121499.451173523,236300.563682311,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-H5-30",52.892833,-118.109437,2024,NA,NA,NA,NA,NA,NA,59362.9408339518,104309.176876387,205419.396390015,"MPB-H5-30",52.892833,-118.109437,2024,2019,2019,2019,2019,2019,2019
"76","MPB-H5-32",2024,0,0,33452.7337128756,0,0,0,0,3,3,0,0,13.9469140360889,0,0,0,"MPB-H5-32",52.898199,-118.104949,2024,NA,NA,NA,NA,NA,NA,68591.0666198358,196151.350399128,289462.071686854,"MPB-H5-32",52.898199,-118.104949,2024,2019,2019,2019,2018,2019,2017
"77","MPB-H5-33",2024,0,49672.0856210182,195356.247958142,0,0,3,3,3,3,0,994.929951921513,1060.4648620084,0,0,0,"MPB-H5-33",52.898548,-118.109698,2024,NA,NA,2016,2016,2016,2016,69988.2899259678,140069.506098475,224013.855822336,"MPB-H5-33",52.898548,-118.109698,2024,2019,2019,2019,2019,2019,2019
"78","MPB-H5-34",2024,0,8198.48796882341,154149.449071248,0,0,3,3,3,3,0,99.5596010026056,99.5596010026056,0,0,0,"MPB-H5-34",52.899597,-118.091687,2024,NA,NA,NA,NA,NA,NA,70653.540928117,203854.477133792,268276.032597529,"MPB-H5-34",52.899597,-118.091687,2024,2019,2019,2019,2019,2019,2018
