location,latitude,longitude,year
MPB-S5-916,52.912723,-117.959579,2023
MPB-S5-917,52.911405,-117.954957,2023
MPB-S5-951,52.85765,-118.08764,2023
MPB-S5-953,52.87371,-118.12403,2023
MPB-S5-957,52.77788,-118.00702,2023
MPB-S5-958,52.78056,-118.01013,2023
MPB-S5-959,52.74751,-117.96844,2023
MPB-S5-960,52.74179,-117.95336,2023
MPB-S5-961,52.74052,-117.94711,2023
MPB-S5-962,52.67413,-117.88646,2023
MPB-S5-963,52.71862,-117.93422,2023
MPB-S5-964,52.91178,-117.99901,2023
MPB-S5-965,52.91463,-118.00852,2023
MPB-S5-966,52.90985,-117.95081,2023
MPB-S5-967,52.9087,-117.94647,2023
MPB-B10-636,49.02638,-113.59241,2023
MPB-B10-637,49.02593,-113.58633,2023
MPB-B10-638,49.0177,-113.5871,2023
MPB-B10-639,49.03051,-113.58215,2023
MPB-B10-640,49.0305,-113.57767,2023
MPB-B10-641,49.03373,-113.57095,2023
MPB-B10-642,49.04291,-113.56539,2023
MPB-B10-643,49.03616,-113.56512,2023
MPB-B10-644,49.03189,-113.567074,2023
MPB-B10-645,49.02796,-113.56515,2023
MPB-B10-646,49.02936,-113.56916,2023
MPB-B10-827,49.50115,-114.39669,2023
MPB-B10-829,49.5165,-114.39349,2023
MPB-B10-830,49.521485,-114.39115,2023
MPB-B10-831,49.52279,-114.38772,2023
MPB-B10-851,49.502689,-114.40305,2023
MPB-B10-853,49.50721,-114.39511,2023
MPB-B10-854,49.51462,-114.3993,2023
MPB-B10-855,49.51771,-114.39975,2023
MPB-B10-856,49.52011,-114.40211,2023
MPB-B10-857,49.52496,-114.38435,2023
MPB-H10-121,49.34761,-114.1403,2023
MPB-H10-826,49.50009,-114.40123,2023
MPB-H10-828,49.5124,-114.39496,2023
MPB-H10-832,49.345751,-114.14721,2023
MPB-H10-833,49.34371,-114.145,2023
MPB-H10-834,49.34456,-114.13808,2023
MPB-H10-836,49.34388,-114.12857,2023
MPB-H10-837,49.34411,-114.12348,2023
